1,0
2,0
4,0
5,0
6,0
7,1
8,0
11,1
12,1
13,0
14,1
15,0
16,0
17,1
19,1
20,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,0
32,0
33,1
34,0
35,0
36,0
38,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
61,1
65,1
66,0
67,1
69,0
70,1
71,1
72,0
73,1
74,0
77,1
78,0
79,0
80,0
81,0
82,0
84,0
85,0
86,1
88,0
89,1
90,0
91,1
93,0
94,0
95,0
96,0
97,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
108,0
109,1
110,0
111,1
112,1
114,0
115,0
116,1
117,1
118,0
119,1
121,0
122,0
124,0
127,1
130,0
132,0
133,0
134,0
136,0
137,1
138,0
139,0
140,0
142,1
143,1
144,0
145,0
146,0
149,0
150,0
152,0
153,0
154,0
155,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
187,0
188,0
189,0
190,0
191,0
192,0
194,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,0
214,1
215,0
216,0
218,0
219,0
220,0
221,1
222,1
224,0
225,1
227,0
229,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
242,1
244,0
245,0
246,0
247,0
248,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,1
280,0
282,0
283,1
284,0
285,0
286,0
287,0
289,1
290,1
291,1
292,0
293,1
296,1
297,0
298,0
299,0
301,0
304,0
305,1
306,1
307,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
321,0
322,0
323,1
325,0
326,1
327,1
328,0
329,0
330,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
344,0
345,0
346,0
