INDEX,P_TARGET_FLAG
3,0.17633333333333334
9,0.39566666666666667
10,0.09366666666666666
18,0.15633333333333332
21,0.19366666666666665
30,0.283
31,0.278
37,0.505
39,0.032
47,0.141
60,0.052333333333333336
62,0.4176666666666667
63,0.5813333333333334
64,0.21333333333333335
68,0.09433333333333334
75,0.558
76,0.481
83,0.3506666666666667
87,0.6333333333333333
92,0.43633333333333335
98,0.22066666666666668
106,0.37833333333333335
107,0.09433333333333334
113,0.32033333333333336
120,0.36333333333333334
123,0.4023333333333333
125,0.363
126,0.3323333333333333
128,0.08266666666666667
129,0.194
131,0.07066666666666667
135,0.578
141,0.034666666666666665
147,0.060333333333333336
148,0.12266666666666666
151,0.084
156,0.34
157,0.185
174,0.114
186,0.5163333333333333
193,0.4043333333333333
195,0.3423333333333333
212,0.048
213,0.446
217,0.015666666666666666
223,0.061
226,0.192
228,0.669
230,0.021333333333333333
241,0.5413333333333333
243,0.09733333333333333
249,0.295
281,0.7266666666666667
288,0.059
294,0.4116666666666667
295,0.1
300,0.318
302,0.328
303,0.16233333333333333
308,0.491
319,0.05
320,0.025333333333333333
324,0.287
331,0.114
343,0.058666666666666666
347,0.415
348,0.8266666666666667
350,0.6683333333333333
357,0.2866666666666667
358,0.05733333333333333
360,0.03233333333333333
366,0.25566666666666665
367,0.409
368,0.2826666666666667
376,0.5096666666666667
380,0.327
388,0.3933333333333333
396,0.207
398,0.197
403,0.036333333333333336
410,0.6633333333333333
412,0.3536666666666667
420,0.524
434,0.02266666666666667
440,0.43433333333333335
450,0.508
453,0.198
464,0.33666666666666667
465,0.05366666666666667
466,0.7103333333333334
473,0.23666666666666666
476,0.23366666666666666
478,0.07933333333333334
479,0.20933333333333334
493,0.04766666666666667
497,0.2916666666666667
503,0.03833333333333333
504,0.28633333333333333
505,0.32566666666666666
507,0.247
513,0.37566666666666665
519,0.578
521,0.5613333333333334
522,0.5033333333333333
545,0.147
549,0.15066666666666667
551,0.137
556,0.07
557,0.451
559,0.22966666666666666
560,0.576
566,0.11033333333333334
569,0.18166666666666667
573,0.24766666666666667
578,0.453
579,0.035666666666666666
582,0.19233333333333333
596,0.5646666666666667
598,0.42
599,0.14933333333333335
602,0.11666666666666667
605,0.685
617,0.48233333333333334
619,0.464
630,0.238
634,0.402
643,0.49766666666666665
645,0.2836666666666667
647,0.21966666666666668
649,0.08433333333333333
656,0.086
657,0.2906666666666667
658,0.21433333333333332
667,0.023
692,0.173
693,0.31
698,0.797
699,0.5243333333333333
700,0.037
704,0.07133333333333333
707,0.10033333333333333
708,0.767
709,0.11366666666666667
713,0.083
714,0.07833333333333334
716,0.5176666666666667
718,0.12933333333333333
722,0.09666666666666666
729,0.2
731,0.04766666666666667
733,0.6186666666666667
746,0.4116666666666667
747,0.795
748,0.412
753,0.25866666666666666
757,0.33866666666666667
763,0.31633333333333336
767,0.27066666666666667
774,0.584
776,0.44766666666666666
788,0.42966666666666664
794,0.308
799,0.18966666666666668
803,0.243
806,0.2996666666666667
807,0.29233333333333333
811,0.086
816,0.23
818,0.274
819,0.21966666666666668
831,0.137
835,0.3486666666666667
837,0.22933333333333333
841,0.614
846,0.338
856,0.471
861,0.497
862,0.49266666666666664
863,0.6
865,0.361
871,0.363
879,0.268
880,0.12433333333333334
881,0.26666666666666666
885,0.24866666666666667
887,0.227
892,0.08233333333333333
898,0.024333333333333332
900,0.24
904,0.417
906,0.5
910,0.442
912,0.3586666666666667
913,0.23933333333333334
919,0.16833333333333333
924,0.569
925,0.5403333333333333
930,0.17866666666666667
940,0.20933333333333334
941,0.28733333333333333
946,0.354
949,0.576
951,0.093
962,0.13266666666666665
966,0.06766666666666667
967,0.013666666666666667
971,0.7263333333333334
981,0.17233333333333334
982,0.086
983,0.035
984,0.03333333333333333
989,0.2663333333333333
990,0.544
992,0.45466666666666666
995,0.10666666666666667
996,0.31533333333333335
998,0.462
1001,0.15533333333333332
1007,0.079
1008,0.16133333333333333
1016,0.034
1022,0.04533333333333334
1027,0.22966666666666666
1032,0.20366666666666666
1033,0.21433333333333332
1041,0.3466666666666667
1065,0.47733333333333333
1074,0.403
1075,0.26766666666666666
1081,0.256
1094,0.09266666666666666
1099,0.13666666666666666
1105,0.244
1123,0.242
1135,0.133
1142,0.2996666666666667
1155,0.050333333333333334
1169,0.036333333333333336
1176,0.03833333333333333
1178,0.40066666666666667
1180,0.06266666666666666
1184,0.11833333333333333
1185,0.394
1193,0.25166666666666665
1196,0.18166666666666667
1199,0.321
1203,0.226
1205,0.199
1207,0.05266666666666667
1208,0.39766666666666667
1212,0.5903333333333334
1213,0.6726666666666666
1222,0.143
1223,0.2776666666666667
1226,0.4
1227,0.28833333333333333
1229,0.17266666666666666
1230,0.30366666666666664
1231,0.539
1241,0.08366666666666667
1243,0.03166666666666667
1244,0.22833333333333333
1246,0.254
1248,0.37466666666666665
1249,0.06833333333333333
1252,0.058
1261,0.239
1275,0.069
1281,0.726
1285,0.5416666666666666
1288,0.4666666666666667
1290,0.07033333333333333
1291,0.3233333333333333
1304,0.661
1305,0.16566666666666666
1323,0.14066666666666666
1342,0.49633333333333335
1348,0.35633333333333334
1353,0.44133333333333336
1363,0.12266666666666666
1371,0.2673333333333333
1372,0.20466666666666666
1378,0.31733333333333336
1381,0.31533333333333335
1382,0.5136666666666667
1393,0.48733333333333334
1394,0.02266666666666667
1398,0.5326666666666666
1404,0.394
1405,0.39766666666666667
1419,0.329
1421,0.20033333333333334
1426,0.21166666666666667
1431,0.416
1435,0.08766666666666667
1437,0.21633333333333332
1438,0.4076666666666667
1442,0.5383333333333333
1464,0.051333333333333335
1471,0.3596666666666667
1473,0.38433333333333336
1476,0.023333333333333334
1478,0.31166666666666665
1479,0.4053333333333333
1487,0.4026666666666667
1492,0.6856666666666666
1496,0.06266666666666666
1497,0.44766666666666666
1515,0.023333333333333334
1519,0.198
1522,0.6616666666666666
1526,0.462
1537,0.10166666666666667
1538,0.699
1540,0.19066666666666668
1543,0.24633333333333332
1548,0.304
1549,0.26066666666666666
1556,0.515
1564,0.007333333333333333
1570,0.25
1577,0.5363333333333333
1585,0.134
1590,0.13233333333333333
1592,0.44366666666666665
1594,0.264
1596,0.522
1598,0.33066666666666666
1603,0.48633333333333334
1607,0.2996666666666667
1612,0.057
1627,0.06233333333333333
1629,0.6983333333333334
1630,0.114
1640,0.24333333333333335
1641,0.29733333333333334
1646,0.20966666666666667
1662,0.329
1668,0.10633333333333334
1671,0.043
1672,0.505
1673,0.6516666666666666
1686,0.25433333333333336
1688,0.6563333333333333
1696,0.042333333333333334
1701,0.04133333333333333
1707,0.13066666666666665
1708,0.107
1713,0.3413333333333333
1715,0.216
1717,0.073
1721,0.09566666666666666
1724,0.657
1725,0.5506666666666666
1730,0.2703333333333333
1731,0.548
1734,0.4216666666666667
1740,0.12266666666666666
1748,0.022333333333333334
1749,0.07233333333333333
1750,0.549
1763,0.30833333333333335
1768,0.045
1773,0.5153333333333333
1777,0.035
1778,0.43066666666666664
1780,0.117
1782,0.3433333333333333
1784,0.021666666666666667
1786,0.10466666666666667
1787,0.12333333333333334
1792,0.199
1800,0.44533333333333336
1801,0.21133333333333335
1803,0.17133333333333334
1804,0.3973333333333333
1807,0.024333333333333332
1818,0.22933333333333333
1821,0.041
1822,0.06166666666666667
1828,0.053
1833,0.472
1844,0.30466666666666664
1847,0.4816666666666667
1850,0.03966666666666667
1854,0.4856666666666667
1858,0.44466666666666665
1864,0.238
1867,0.15566666666666668
1876,0.548
1880,0.19033333333333333
1881,0.143
1891,0.30733333333333335
1894,0.18633333333333332
1895,0.021
1901,0.42933333333333334
1905,0.023666666666666666
1912,0.45466666666666666
1918,0.4093333333333333
1921,0.26766666666666666
1923,0.3303333333333333
1924,0.262
1931,0.08366666666666667
1941,0.02033333333333333
1950,0.023
1951,0.167
1954,0.050666666666666665
1961,0.19566666666666666
1966,0.035
1979,0.14066666666666666
1982,0.06966666666666667
1987,0.5336666666666666
1997,0.152
2004,0.011666666666666667
2011,0.6013333333333334
2015,0.514
2025,0.045
2033,0.367
2034,0.016666666666666666
2035,0.201
2036,0.6303333333333333
2053,0.5036666666666667
2059,0.7023333333333334
2060,0.037333333333333336
2073,0.454
2084,0.378
2089,0.061
2092,0.257
2109,0.30266666666666664
2129,0.47833333333333333
2134,0.38466666666666666
2135,0.028666666666666667
2148,0.02266666666666667
2149,0.04133333333333333
2150,0.36
2165,0.6286666666666667
2166,0.03333333333333333
2168,0.036333333333333336
2170,0.22066666666666668
2171,0.17833333333333334
2172,0.016666666666666666
2176,0.20566666666666666
2182,0.07866666666666666
2189,0.14233333333333334
2191,0.112
2197,0.062
2202,0.15033333333333335
2203,0.13933333333333334
2204,0.47333333333333333
2206,0.6646666666666666
2218,0.143
2219,0.287
2221,0.24366666666666667
2226,0.12966666666666668
2228,0.2663333333333333
2232,0.2733333333333333
2236,0.19066666666666668
2241,0.7576666666666667
2245,0.023
2251,0.413
2255,0.028
2256,0.013
2259,0.022
2263,0.5003333333333333
2264,0.099
2267,0.04666666666666667
2273,0.6573333333333333
2277,0.3893333333333333
2287,0.18566666666666667
2289,0.24933333333333332
2291,0.21166666666666667
2296,0.76
2299,0.09733333333333333
2306,0.02266666666666667
2314,0.13966666666666666
2317,0.151
2318,0.5056666666666667
2321,0.7703333333333333
2324,0.22066666666666668
2340,0.243
2343,0.039
2349,0.16966666666666666
2352,0.12066666666666667
2353,0.362
2365,0.6113333333333333
2370,0.6563333333333333
2378,0.18366666666666667
2390,0.521
2399,0.15066666666666667
2402,0.6333333333333333
2403,0.5533333333333333
2404,0.12033333333333333
2414,0.247
2422,0.24133333333333334
2424,0.11666666666666667
2430,0.4026666666666667
2435,0.35033333333333333
2439,0.035333333333333335
2442,0.3586666666666667
2445,0.36933333333333335
2449,0.27566666666666667
2451,0.414
2461,0.6696666666666666
2464,0.21733333333333332
2465,0.43433333333333335
2472,0.128
2476,0.427
2482,0.194
2487,0.20366666666666666
2498,0.19966666666666666
2501,0.038
2504,0.33466666666666667
2511,0.43566666666666665
2518,0.05733333333333333
2521,0.152
2530,0.08133333333333333
2543,0.44433333333333336
2545,0.351
2561,0.428
2566,0.44033333333333335
2572,0.25433333333333336
2577,0.164
2578,0.11433333333333333
2580,0.2693333333333333
2581,0.20266666666666666
2582,0.099
2584,0.019666666666666666
2590,0.043
2598,0.016
2602,0.14966666666666667
2605,0.20333333333333334
2616,0.20133333333333334
2618,0.187
2619,0.2866666666666667
2624,0.03166666666666667
2632,0.096
2640,0.20766666666666667
2646,0.041
2651,0.09633333333333334
2660,0.012666666666666666
2661,0.036333333333333336
2668,0.03966666666666667
2670,0.29433333333333334
2680,0.5603333333333333
2681,0.073
2689,0.5113333333333333
2694,0.029333333333333333
2695,0.785
2696,0.5016666666666667
2702,0.207
2704,0.22133333333333333
2708,0.026333333333333334
2709,0.048666666666666664
2714,0.4816666666666667
2716,0.09033333333333333
2723,0.05533333333333333
2725,0.48733333333333334
2738,0.04066666666666666
2750,0.3456666666666667
2756,0.358
2758,0.07733333333333334
2766,0.3263333333333333
2767,0.4043333333333333
2771,0.2986666666666667
2775,0.21233333333333335
2776,0.123
2779,0.7696666666666667
2780,0.25033333333333335
2781,0.293
2782,0.5956666666666667
2783,0.205
2796,0.36933333333333335
2798,0.2936666666666667
2800,0.14033333333333334
2803,0.08033333333333334
2806,0.009333333333333334
2813,0.09566666666666666
2818,0.25266666666666665
2821,0.5003333333333333
2825,0.2906666666666667
2829,0.167
2830,0.6166666666666667
2833,0.11666666666666667
2839,0.5803333333333334
2843,0.11066666666666666
2846,0.052333333333333336
2847,0.06866666666666667
2848,0.11233333333333333
2856,0.652
2863,0.162
2867,0.24633333333333332
2869,0.20766666666666667
2873,0.0036666666666666666
2874,0.5266666666666666
2875,0.38766666666666666
2880,0.6413333333333333
2886,0.6026666666666667
2887,0.357
2888,0.19833333333333333
2889,0.534
2890,0.5036666666666667
2892,0.16333333333333333
2901,0.337
2902,0.09733333333333333
2905,0.266
2917,0.4533333333333333
2922,0.623
2924,0.141
2930,0.202
2931,0.082
2946,0.14533333333333334
2955,0.324
2962,0.017
2964,0.035
2965,0.49566666666666664
2967,0.11266666666666666
2970,0.07133333333333333
2973,0.544
2974,0.21533333333333332
2976,0.7563333333333333
2977,0.23866666666666667
2978,0.24733333333333332
2986,0.12666666666666668
2988,0.374
2989,0.141
2995,0.7506666666666667
3005,0.6693333333333333
3011,0.17833333333333334
3013,0.06333333333333334
3019,0.5126666666666667
3021,0.08333333333333333
3022,0.44366666666666665
3029,0.04533333333333334
3037,0.217
3042,0.24733333333333332
3043,0.145
3049,0.091
3050,0.6026666666666667
3053,0.18566666666666667
3058,0.4156666666666667
3062,0.332
3063,0.32866666666666666
