INDEX,P_TARGET_FLAG
3,0.20333333333333334
9,0.33
10,0.12666666666666668
18,0.18666666666666668
21,0.22333333333333333
30,0.25
31,0.2633333333333333
37,0.5033333333333333
39,0.03333333333333333
47,0.18
60,0.05333333333333334
62,0.37333333333333335
63,0.6133333333333333
64,0.16666666666666666
68,0.13666666666666666
75,0.5733333333333334
76,0.53
83,0.3333333333333333
87,0.6566666666666666
92,0.48
98,0.2733333333333333
106,0.36
107,0.13
113,0.24333333333333335
120,0.37666666666666665
123,0.45
125,0.36666666666666664
126,0.34
128,0.09666666666666666
129,0.19666666666666666
131,0.07333333333333333
135,0.5733333333333334
141,0.03333333333333333
147,0.07
148,0.15
151,0.08
156,0.3466666666666667
157,0.2
174,0.08333333333333333
186,0.5066666666666667
193,0.4066666666666667
195,0.33
212,0.04666666666666667
213,0.5
217,0.02666666666666667
223,0.05333333333333334
226,0.22
228,0.62
230,0.02666666666666667
241,0.53
243,0.08666666666666667
249,0.2833333333333333
281,0.7233333333333334
288,0.056666666666666664
294,0.44333333333333336
295,0.09666666666666666
300,0.30333333333333334
302,0.30333333333333334
303,0.12666666666666668
308,0.49333333333333335
319,0.043333333333333335
320,0.04
324,0.2966666666666667
331,0.13
343,0.05333333333333334
347,0.46
348,0.8133333333333334
350,0.6133333333333333
357,0.25
358,0.06
360,0.03333333333333333
366,0.29
367,0.48333333333333334
368,0.24
376,0.4766666666666667
380,0.31
388,0.38
396,0.20666666666666667
398,0.13666666666666666
403,0.03666666666666667
410,0.65
412,0.30666666666666664
420,0.46
434,0.02
440,0.39
450,0.5133333333333333
453,0.21666666666666667
464,0.31
465,0.05
466,0.7566666666666667
473,0.21666666666666667
476,0.29
478,0.08
479,0.22333333333333333
493,0.06333333333333334
497,0.31
503,0.03666666666666667
504,0.36
505,0.3466666666666667
507,0.26666666666666666
513,0.35333333333333333
519,0.52
521,0.5066666666666667
522,0.5
545,0.14666666666666667
549,0.16666666666666666
551,0.13333333333333333
556,0.11
557,0.45666666666666667
559,0.23
560,0.5933333333333334
566,0.14333333333333334
569,0.23666666666666666
573,0.3
578,0.4066666666666667
579,0.03666666666666667
582,0.26
596,0.5666666666666667
598,0.43666666666666665
599,0.13666666666666666
602,0.13666666666666666
605,0.7
617,0.4766666666666667
619,0.51
630,0.24
634,0.37666666666666665
643,0.5266666666666666
645,0.30666666666666664
647,0.22
649,0.06666666666666667
656,0.08
657,0.39666666666666667
658,0.26666666666666666
667,0.023333333333333334
692,0.16
693,0.2733333333333333
698,0.7966666666666666
699,0.4866666666666667
700,0.056666666666666664
704,0.10333333333333333
707,0.10666666666666667
708,0.7233333333333334
709,0.1
713,0.08666666666666667
714,0.07333333333333333
716,0.5733333333333334
718,0.12
722,0.11666666666666667
